;Code;Parcel;Introduced_bee;Tree;Collection_date;Bee;Nb_sample;Ranuculacea;Rosacea;Quercus;Crucifera;Ericaceae;Fagus;Ilex;Salix;C..fenestrada...Asteràcia.fenestrada....Taraxacum.or.similar..;Pinus;Juglans;Aesculus;Corylus;Olea;unknown;Lamiacase..thymus..;Helleborus;Lamium;Betulaceae;Monocot;Polygonum
158;P7cA6;7;cornuta;apple;22/04/2019;cornuta;6;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
159;P7cA7;7;cornuta;apple;24/04/2019;cornuta;7;0;99.5049505;0;0;0;0.495049505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160;P7cA8;7;cornuta;apple;24/04/2019;cornuta;8;0;94.01709402;0;0;0;0;0;5.982905983;0;0;0;0;0;0;0;0;0;0;0;0;0
161;P7cA9;7;cornuta;apple;24/04/2019;cornuta;9;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
162;P9bC1;9;bicornis;cherry;24/04/2019;bicornis;1;96.8;0.8;2.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;P9bC2;9;bicornis;cherry;24/04/2019;bicornis;2;4.716981132;2.830188679;0.943396226;0;0;0;0;90.56603774;0;0;0;0;0;0;0;0;0;0;0.943396226;0;0
164;P9bC3;9;bicornis;cherry;24/04/2019;cornuta;3;80.64516129;0;0;0;0;0;0;19.35483871;0;0;0;0;0;0;0;0;0;0;0;0;0
165;P9bC4;9;bicornis;cherry;24/04/2019;cornuta;4;0;0;0;0;0;0;0;74.46808511;25.53191489;0;0;0;0;0;0;0;0;0;0;0;0
166;P9bC5;9;bicornis;cherry;24/04/2019;cornuta;5;0;5.833333333;0;0;0;0;0;93.33333333;0.833333333;0;0;0;0;0;0;0;0;0;0;0;0
167;P9bC6;9;bicornis;cherry;24/04/2019;cornuta;6;0;98.0952381;0;0;0;0;0;0.952380952;0.952380952;0;0;0;0;0;0;0;0;0;0;0;0
168;P9cC1;9;cornuta;cherry;20/04/2019;cornuta;1;0;92.30769231;0;0;0;7.692307692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
